,time,latitude,longitude,altitude
0,2025-11-02 10:17:08-03:00,-22.956,-43.166,32.0
1,2025-11-02 10:17:09-03:00,-22.9561,-43.1661,32.0
2,2025-11-02 10:17:10-03:00,-22.9562,-43.1662,32.0
3,2025-11-02 10:17:11-03:00,-22.9563,-43.1663,32.0
4,2025-11-02 10:17:12-03:00,-22.9564,-43.1664,32.0
5,2025-11-02 10:17:13-03:00,-22.9565,-43.1665,32.0
6,2025-11-02 10:17:14-03:00,-22.9566,-43.1666,32.0
7,2025-11-02 10:17:15-03:00,-22.9567,-43.1667,32.0
8,2025-11-02 10:17:16-03:00,-22.9568,-43.1668,32.0
9,2025-11-02 10:17:17-03:00,-22.9569,-43.1669,32.0
10,2025-11-02 10:17:18-03:00,-22.957,-43.167,32.0
11,2025-11-02 10:17:19-03:00,-22.9571,-43.1671,32.0
12,2025-11-02 10:17:20-03:00,-22.9572,-43.1672,32.0
